Site	Plot	Treatment	Tag	Species	LeafPh_Mg	LeafPh_J16	LeafPh_M17g	LeafPh_S17g	LeafPh_M18g	LeafPh_S18g	RootfPh_Mg	RootPh_J16	RootPh_M17g	RootPh_S17g	RootPh_M18g	RootPh_S18g	LeafTa_Mg	LeafTa_J16	LeafTa_M17g	LeafTaS17g	LeafTa_M18g	LeafTa_S18g	RootTa_Mg	RootTa_J16	RootTa_M17g	RootTa_S17g	RootTa_M18g	RootTa_S18g	LeafSu_Mg	LeafSu_J16	LeafSu_M17g	LeafSu_S17g	LeafSu_M18g	LeafSu_S18g	RootSu_Mg	RootSu_J16	RootSu_M17g	RootSu_S17g	RootSu_M18g	RootSu_S18g	LeafSt_Mg	LeafSt_J	LeafSt_M17g	LeafSt_S17g	LeafSt_M18g	LeafSt_S18g	RootSt_Mg	RootSt_J16	RootSt_M17g	RootSt_S17g	RootSt_M18g	RootSt_S18g	LeafNSC_0g	LeafNSC_J	LeafNSC_M17g	LeafNSC_S17g	LeafNSC_M18g	LeafNSC_S18g	RootNSC_0g	RootNSC_J	RootNSC_M17g	RootNSC_S17g	RootNSC_M18g	RootNSC_S18g
Gamir	2	Control	12	Q. suber	65.84	52.32	89.23	178.96	160.18	229.445	78.38	73.27	116.6	269.39	204.97	220.151	26.16	0	19.44	13.63	28.08	48.715	14.36	11.17	13.48	29.29	18.7	16.529	166.58	113.5	204.75	29.68	61.14	51.995	38.85	8.3	7.9	9.92	8.02	4.238	17.94	67.57	26.58	10.54	55.92	52.585	10.43	13.54	1.59	24.68	19.36	21.55	184.52	181.07	231.33	40.22	117.06	104.58	49.28	21.84	9.49	34.6	27.39	25.79
Gamir	2	Control	13	Q. suber	33.46	51.92	71.56	254.63	204.67	221.486	85.64	46.4	139.79	266.03	202.24	211.318	7.53	0	10.9	42.76	15.12	31.076	12.44	7.18	14.44	54	28.23	22.459	155.45	96.88	208.17	42.82	58.03	50.261	32.16	9.63	12.98	7.76	7.95	5.866	15.16	60.89	25.6	23.75	37.72	90.213	2.62	12.4	2.44	21.75	18.85	11.984	170.61	157.77	233.78	66.58	95.76	140.47	34.78	22.03	15.42	29.51	26.8	17.85
Gamir	3	Drought	15	Q. canariensis	33.22	101.3	107.1	195.4	147.35	171.127	80	57.34	130.63	269.28	127.94	121.864	5.58	50.4	17.43	48.83	25.42	29.117	4.03	6.9	3.52	33.58	22.31	2.624	146.71	93.29	148.06	54.44	62.4	40.763	37.65	11.06	18.78	10.45	12.75	4.927	28.65	50.91	9.6	20.98	31.44	26.719	6.18	21.53	7.11	25.38	45.85	12.664	175.36	144.2	157.66	75.43	93.84	67.48	43.83	32.59	25.89	35.83	58.6	17.59
Gamir	3	Drought	17	Q. suber	39.03	54.31	85.94	218.11	152.1	237.743	75.5	92.4	65.95	294.2	159.48	97.655	11.04	0	9.63	17.47	11.33	27.371	2.78	9.73	3.57	49.24	11.73	4.612	160.52	76.41	170.05	39.53	63.22	53.252	46.42	12.57	15.22	9.88	11.08	4.926	21.74	51.47	19.01	18.8	36.45	38.917	11.65	27.15	5.01	21.77	38.63	13.837	182.26	127.88	189.06	58.33	99.67	92.17	58.07	39.72	20.22	31.66	49.72	18.76
Gamir	3	Drought	18	Q. canariensis	32.7	54.88	61.09	218.46	123.64	137.706	77	62.52	182.7	249.93	113.1	177.029	2.51	11.9	14.78	21.77	7.89	16.722	7.46	4.45	10.44	27.79	4.36	1.964	166.57	90.52	125.28	58.95	38.8	54.79	42.03	11.86	17.82	8.62	11.63	5.018	20.62	53.18	20.01	42.41	39.22	28.919	14	24.9	4.01	26.4	22.76	14.466	187.19	143.71	145.29	101.36	78.03	83.71	56.03	36.77	21.83	35.02	34.39	19.48
Gamir	3	Drought	19	Q. canariensis	42.43	44.31	107.91	146.51	169.29	97.685	79.18	67.08	71.59	289.6	155.78	215.339	13.71	7.86	16.34	40.27	23.87	16.947	14.16	5.49	0	6.24	9.48	3.591	167.95	102.6	141.95	41.06	51.51	56.626	41.81	15.52	18.5	10.51	13.44	8.008	24.85	51.05	13.83	25.77	33.47	82.244	7.97	29.55	7.36	30.74	21.35	12.84	192.8	153.65	155.78	66.83	84.98	138.87	49.78	45.07	25.86	41.24	34.79	20.85
Gamir	3	Drought	20	Q. suber	83.89	61.45	135.04	199.68	171.17	162.514	97.69	48.26	77.07	294.4	203.71	192.896	50.85	0	44.77	64.12	30.81	64.447	8.14	4.09	3.2	43.81	16.3	14.906	168.15	100.04	193.83	74.72	67.35	45.131	39.02	9.25	19.6	9.1	10.67	5.415	24.98	68.41	14.47	18.9	41.86	59.096	7.55	17.86	9.82	18.91	52.99	11.654	193.13	168.46	208.3	93.62	109.21	104.23	46.57	27.11	29.42	28	63.65	17.07
Gamir	3	Drought	21	Q. suber	80.88	104.9	95.33			131.265	119.25	65.27	151.94	306.44	242.31	174.626	38.43	8.39	18.2			16.837	39.17	15.98	6.78	38.6	23.51	3.676	149.62	89.5	184.13			62.449	44.4	8.28	14.65	10.71	10.93	5.499	20.44	64.93	9.33			24.9	4.48	19.72	4.16	25.31	24.85	13.174	170.05	154.43	193.47			87.35	48.88	28.01	18.81	36.02	35.78	18.67
Gamir	4	Drought	23	Q. suber	56.9	57.2	83.89	236.9	241.45		76.61	73.99	123.18	283.16	171.67	190.767	19.95	0	17.72	53.11	34.66		8.98	10.56	12.06	44.77	31.09	10.239	191.13	122.51	174.25	68.66	61.22		33.66	10	10.62	14.15	7.75	8.875	29.47	83.49	18.27	24.35	34.43		7.79	17	3.9	25.48	35.28	17.495	220.6	206.01	192.52	93.01	95.65		41.45	27.01	14.52	39.63	43.03	26.37
Gamir	4	Drought	26	Q. canariensis	54.79	108.01	198.6	248.71	228.61	153.983	78.56	73.66	105.33	289.37	211.38	211.938	32.18	59.85	59.51	51.84	44.97	51.587	17.2	7.56	4.33	26.38	43.72	5.069	108.55	105.83	110.36	59.03	48.81	79.486	33.96	14.03	14.02	15.09	11.03	12.436	18.77	50.51	17.86	20.12	29.25	38.637	4.88	13.97	5.26	26.79	18.02	17.787	127.32	156.34	128.22	79.14	78.06	118.12	38.84	28.01	19.28	41.88	29.05	30.22
Gamir	4	Drought	27	Q. suber	78.14	53.11	159.05	305.52	261.55	198.148	92.02	76.07	138.4	293.2	181.81	247.265	25.74	0	34.99	63.23	43.55	30.142	13.01	3.52	0.7	38.33	9.97	14.878	177.42	115.16	173.89	65.07	70.25	82.017	37.44	13.89	16.01	13.71	12.42	10.657	27.32	85.99	29.36	25.4	44.38	47.824	6.67	14.42	4.7	29.26	30.05	14.502	204.74	201.15	203.25	90.47	114.63	129.84	44.11	28.31	20.71	42.97	42.47	25.16
Gamir	4	Drought	30	Q. canariensis	67.36	85.26	128.14	231.33		189.164	113.49	96.52	128.5	224.16	272.57	253.146	28.59	56.97	44.59	75.61		52.232	3.69	2.28	5.77	18.23	8.38	4.001	150.47	105.57	128.67	68.08		85.055	53.09	14.1	18.03	19.13	11.36	12.053	39.96	55.33	21.21	22.58		24.123	9.32	16.5	3.83	29.59	53.95	27.668	190.43	160.89	149.88	90.66		109.18	62.41	30.6	21.87	48.73	65.3	39.72
Gamir	4	Drought	31	Q. suber	66.83	70.83	134.83	204.42	221.84	195.206	83.78	82.55	92.05	249.97	216.38	218.978	26.83	0	38.4	26.68	37.92	25.724	24.01	15.88	3.41	12.87	18.08	17.344	185.59	126.93	145.75	9.31	54.27	66.936	39.69	14.12	15.56	13.65	11.94	13.176	23.24	64.56	23.2	0.25	47.1	51.328	8.09	18.14	4.24	28.97	28.1	15.287	208.83	191.49	168.94	9.56	101.37	118.26	47.78	32.27	19.8	42.62	40.04	28.46
Gamir	4	Drought	32	Q. canariensis	39.92	78.62	161.34	263.18	229.2	208.664	83.73	76.27	109.84	254.9	179.76	187.651	18.88	45.46	65.68	81.83	45.9	64.026	21.03	5.58	0	27.21	14.18	7.43	122.52	104.76	114.71	94	54.72	68.406	32.65	11.38	15.74	23.24	10.3	14.086	29.57	66.26	14.27	35.32	56.14	27.305	7.38	21.71	4.34	36.61	35.26	31.727	152.09	171.01	128.98	129.31	110.87	95.71	40.03	33.09	20.08	59.85	45.56	45.81
Gamir	5	Control	36	Q. canariensis	33.95	78.11	76	283.21	241.17	219.025	69.22	75.52	112.49	275.22	231.74	213.516	21.35	48.14	32.89	114.88	64.21	81.072	16.19	15.37	7.05	7.78	29.36	7.175	118.53	106.52	91.27	77.06	52.17	69.634	34.32	10.48	15.49	18	8.92	11.017	25.43	46.02	10.31	25.07	47.08	46.733	12.62	18.11	4	24.93	32.18	18.413	143.97	152.54	101.58	102.13	99.25	116.37	46.94	28.59	19.49	42.93	41.1	29.43
Gamir	5	Control	40	Q. canariensis	59.18	139.51	170.39	232.2	229.13	249.157	96.7	96.47	181.66	300.27	145.26	301.874	24.44	51.45	48.49	53.3	36.51	63.968	10.92	8.25	8.44	24.1	26.7	7.879	131.58	95.59	132.74	48.71	39.21	66.191	33.69	16.11	14.56	14.14	6.3	7.32	29.11	92.75	12.75	14.37	35.89	48.835	7	15.82	3.7	30.09	36.83	24.852	160.69	188.34	145.48	63.08	75.1	115.03	40.69	31.92	18.27	44.23	43.13	32.17
